Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,22046,21115,20913
00:05,20869,20934,20767
00:10,20869,20934,20747
00:15,20869,20934,20628
00:20,20869,20477,20553
00:25,20869,20477,20454
00:30,20869,20477,20348
00:35,20869,20143,20288
00:40,20869,20143,20201
00:45,20869,20143,20134
00:50,20869,19877,20072
00:55,20869,19877,20021
01:00,20869,19877,20002
01:05,20059,19724,19911
01:10,20059,19724,19814
01:15,20059,19724,19722
01:20,20059,19541,19653
01:25,20059,19541,19585
01:30,20059,19541,19528
01:35,20059,19284,19493
01:40,20059,19284,19442
01:45,20059,19284,19432
01:50,20059,19188,19344
01:55,20059,19188,19284
02:00,20059,19188,19205
02:05,19461,19062,19168
02:10,19461,19062,19182
02:15,19461,19062,19107
02:20,19461,18931,19092
02:25,19461,18931,19053
02:30,19461,18931,19002
02:35,19461,18851,18956
02:40,19461,18851,18932
02:45,19461,18851,18889
02:50,19461,18776,18864
02:55,19461,18776,18823
03:00,19461,18776,18826
03:05,19207,18715,18804
03:10,19207,18715,18802
03:15,19207,18715,18755
03:20,19207,18662,18732
03:25,19207,18662,18687
03:30,19207,18662,18675
03:35,19207,18586,18666
03:40,19207,18586,18662
03:45,19207,18586,18650
03:50,19207,18616,18601
03:55,19207,18616,18591
04:00,19207,18616,18566
04:05,19179,18604,18622
04:10,19179,18604,18706
04:15,19179,18604,18771
04:20,19179,18603,18842
04:25,19179,18603,18903
04:30,19179,18603,18925
04:35,19179,18710,18944
04:40,19179,18710,18957
04:45,19179,18710,18957
04:50,19179,18937,18957
04:55,19179,18937,18978
05:00,19179,18937,18994
05:05,19372,19109,19070
05:10,19372,19109,19117
05:15,19372,19109,19144
05:20,19372,19187,19121
05:25,19372,19187,19133
05:30,19372,19187,19156
05:35,19372,19231,19213
05:40,19372,19231,19247
05:45,19372,19231,19234
05:50,19372,19423,19278
05:55,19372,19423,19310
06:00,19372,19423,19381
06:05,19573,19402,19468
06:10,19573,19402,19583
06:15,19573,19402,19616
06:20,19573,19373,19569
06:25,19573,19373,19496
06:30,19573,19373,19405
06:35,19573,19319,19393
06:40,19573,19319,19394
06:45,19573,19319,19335
06:50,19573,19334,19329
06:55,19573,19334,19276
07:00,19573,19334,19263
07:05,19068,19331,19302
07:10,19068,19331,19260
07:15,19068,19331,19180
07:20,19068,19149,19166
07:25,19068,19149,19199
07:30,19068,19149,19155
07:35,19068,18981,19073
07:40,19068,18981,19025
07:45,19068,18981,18935
07:50,19068,18851,18851
07:55,19068,18851,18797
08:00,19068,18851,18738
08:05,18348,18619,18762
08:10,18348,18619,18856
08:15,18348,18619,18775
08:20,18348,18466,18698
08:25,18348,18466,18544
08:30,18348,18466,18402
08:35,18348,18181,18326
08:40,18348,18181,18228
08:45,18348,18181,18176
08:50,18348,17931,18147
08:55,18348,17931,18024
09:00,18348,17931,17962
09:05,17308,17764,17930
09:10,17308,17764,17857
09:15,17308,17764,17803
09:20,17308,17567,17751
09:25,17308,17567,17637
09:30,17308,17567,17586
09:35,17308,17378,17499
09:40,17308,17378,17428
09:45,17308,17378,17344
09:50,17308,17216,17301
09:55,17308,17216,17204
10:00,17308,17216,17089
10:05,16652,17042,17122
10:10,16652,17042,17064
10:15,16652,17042,17002
10:20,16652,16890,16955
10:25,16652,16890,16897
10:30,16652,16890,16826
10:35,16652,16736,16774
10:40,16652,16736,16725
10:45,16652,16736,16712
10:50,16652,16650,16611
10:55,16652,16650,16584
11:00,16652,16650,16561
11:05,16477,16622,16575
11:10,16477,16622,16536
11:15,16477,16622,16508
11:20,16477,16616,16475
11:25,16477,16616,16436
11:30,16477,16616,16411
11:35,16477,16535,16424
11:40,16477,16535,16413
11:45,16477,16535,16381
11:50,16477,16522,16340
11:55,16477,16522,16399
12:00,16477,16522,16343
12:05,16751,16546,16422
12:10,16751,16546,16473
12:15,16751,16546,16457
12:20,16751,16577,16532
12:25,16751,16577,16502
12:30,16751,16577,16521
12:35,16751,16699,16569
12:40,16751,16699,16574
12:45,16751,16699,16608
12:50,16751,16826,16643
12:55,16751,16826,16610
13:00,16751,16826,16636
13:05,17325,16877,16705
13:10,17325,16877,16676
13:15,17325,16877,16701
13:20,17325,16999,16738
13:25,17325,16999,16791
13:30,17325,16999,16951
13:35,17325,17174,16957
13:40,17325,17174,16993
13:45,17325,17174,16986
13:50,17325,17342,17044
13:55,17325,17342,17206
14:00,17325,17342,17303
14:05,18251,17583,17310
14:10,18251,17583,17373
14:15,18251,17583,17466
14:20,18251,17867,17627
14:25,18251,17867,17757
14:30,18251,17867,17820
14:35,18251,18263,17913
14:40,18251,18263,18025
14:45,18251,18263,18039
14:50,18251,18492,18061
14:55,18251,18492,18147
15:00,18251,18492,18280
15:05,19661,18785,18344
15:10,19661,18785,18502
15:15,19661,18785,18546
15:20,19661,19119,18676
15:25,19661,19119,18775
15:30,19661,19119,18931
15:35,19661,19480,19160
15:40,19661,19480,19234
15:45,19661,19480,19375
15:50,19661,19974,19462
15:55,19661,19974,19568
16:00,19661,19974,19674
16:05,21564,20321,19888
16:10,21564,20321,20148
16:15,21564,20321,20234
16:20,21564,20810,20355
16:25,21564,20810,20560
16:30,21564,20810,20797
16:35,21564,21299,20928
16:40,21564,21299,21118
16:45,21564,21299,21304
16:50,21564,21883,21416
16:55,21564,21883,21527
17:00,21564,21883,21699
17:05,23410,22348,21761
17:10,23410,22348,21919
17:15,23410,22348,22094
17:20,23410,22826,22272
17:25,23410,22826,22469
17:30,23410,22826,22669
17:35,23410,23204,22867
17:40,23410,23204,23029
17:45,23410,23204,23220
17:50,23410,23590,23389
17:55,23410,23590,23539
18:00,23410,23590,23710
18:05,25050,24040,23817
18:10,25050,24040,24001
18:15,25050,24040,24147
18:20,25050,24412,24330
18:25,25050,24412,24490
18:30,25050,24412,24563
18:35,25050,24849,24697
18:40,25050,24849,24737
18:45,25050,24849,24792
18:50,25050,25033,24948
18:55,25050,25033,25085
19:00,25050,25033,25230
19:05,26093,25404,25261
19:10,26093,25404,25252
19:15,26093,25404,25294
19:20,26093,25749,25330
19:25,26093,25749,25378
19:30,26093,25749,25443
19:35,26093,25830,25553
19:40,26093,25830,25668
19:45,26093,25830,25794
19:50,26093,25943,25866
19:55,26093,25943,25949
20:00,26093,25943,26050
20:05,26342,25994,26021
20:10,26342,25994,25993
20:15,26342,25994,25985
20:20,26342,25777,25955
20:25,26342,25777,25923
20:30,26342,25777,25861
20:35,26342,25496,25811
20:40,26342,25496,25722
20:45,26342,25496,25705
20:50,26342,25301,25594
20:55,26342,25301,25529
21:00,26342,25301,25351
21:05,25313,25081,25301
21:10,25313,25081,25216
21:15,25313,25081,25145
21:20,25313,24714,25094
21:25,25313,24714,24998
21:30,25313,24714,24894
21:35,25313,24372,24762
21:40,25313,24372,24682
21:45,25313,24372,24523
21:50,25313,23975,24374
21:55,25313,23975,24278
22:00,25313,23975,24096
22:05,23566,23610,23953
22:10,23566,23610,23831
22:15,23566,23610,23633
22:20,23566,23217,23534
22:25,23566,23217,23408
22:30,23566,23217,23279
22:35,23566,22744,23117
22:40,23566,22744,22935
22:45,23566,22744,22788
22:50,23566,22262,22666
22:55,23566,22262,22522
23:00,23566,22262,22383
23:05,21932,21884,22189
23:10,21932,21884,22137
23:15,21932,21884,21978
23:20,21932,21491,21868
23:25,21932,21491,21744
23:30,21932,21491,21638
23:35,21932,21206,21504
23:40,21932,21206,21351
23:45,21932,21206,21237
23:50,21932,20944,21123
23:55,21932,20944,21021
00:00,21932,20944,
