Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
00:00,-38,2003,1005,295,203,236,14,2243,9798,1167,-60,8240,0
00:05,-37,2002,1005,294,203,237,14,2243,9521,1208,41,8371,0
00:10,-37,1989,1006,293,203,237,14,2243,9325,1151,34,8419,0
00:15,-38,1956,1006,294,203,236,14,2243,9385,1091,14,8436,0
00:20,-39,1904,1006,293,203,235,14,2243,9401,1111,11,8386,0
00:25,-39,1871,1006,294,203,235,15,2243,9284,1136,8,8381,0
00:30,-39,1869,1007,292,203,234,15,2242,9176,1135,10,8318,0
00:35,-39,1824,1007,292,203,235,14,2243,9161,1115,6,8310,0
00:40,-39,1799,1005,292,203,234,14,2243,9073,1109,6,8329,0
00:45,-39,1733,1006,292,203,234,14,2243,9022,1107,6,8327,0
00:50,-39,1712,1006,292,203,234,15,2244,8956,1101,-8,8334,0
00:55,-38,1721,1006,293,203,234,15,2244,8802,1128,12,8339,0
01:00,-38,1704,1006,294,203,234,15,2244,8656,1075,1,8372,0
01:05,-38,1672,1007,293,203,234,15,2244,8623,1012,-2,8423,0
01:10,-38,1672,1007,294,204,234,15,2243,8599,1005,-1,8372,0
01:15,-39,1713,1008,294,203,235,15,2244,8533,1008,0,8298,0
01:20,-38,1714,1008,294,203,235,15,2246,8411,1019,-1,8321,0
01:25,-38,1740,1008,291,203,234,15,2245,8297,1020,-1,8307,0
01:30,-38,1765,1007,291,203,235,15,2245,8244,1021,-1,8256,0
01:35,-38,1776,1007,291,203,234,15,2245,8076,1005,-6,8306,0
01:40,-38,1775,1007,292,203,234,14,2245,7960,994,-16,8407,0
01:45,-38,1774,1007,293,203,234,15,2245,7857,1005,-10,8436,0
01:50,-38,1784,1009,293,204,235,15,2245,7750,987,-5,8483,0
01:55,-38,1798,1008,293,203,236,14,2245,7623,987,3,8540,0
02:00,-38,1799,1008,292,203,236,14,2246,7553,981,-18,8545,0
02:05,-38,1778,1009,295,203,235,15,2246,7608,936,-13,8517,0
02:10,-38,1731,1009,294,203,236,14,2245,7600,937,-1,8485,0
02:15,-38,1712,1004,294,203,235,14,2244,7593,928,2,8474,0
