Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-36,1263,803,272,206,122,5,457,11270,587,-45,6947,0
00:05,-36,1256,804,271,205,121,6,458,11557,582,-100,6905,0
00:10,-36,1286,803,271,205,120,5,457,11525,560,-72,6847,0
00:15,-36,1342,804,271,205,120,5,458,11528,532,-117,6834,0
00:20,-36,1404,805,271,205,116,5,458,11427,517,-133,6944,0
00:25,-36,1417,804,272,205,114,5,458,11272,493,-124,7013,0
00:30,-36,1410,804,274,205,111,4,458,11390,195,-71,7250,0
00:35,-36,1383,805,272,205,110,5,458,11467,172,-23,7186,0
00:40,-36,1379,803,272,205,110,5,456,11558,191,-87,7134,0
00:45,-36,1426,803,269,204,109,5,457,11571,184,-91,7083,0
00:50,-35,1472,803,270,204,109,5,457,11474,176,-88,7131,0
00:55,-36,1469,803,270,205,110,5,456,11429,168,-30,7040,0
01:00,-36,1445,803,269,205,110,5,457,11459,167,-36,7027,0
01:05,-35,1441,804,268,205,110,6,457,11508,155,-101,7042,0
01:10,-36,1424,804,266,205,110,5,458,11491,138,-98,7098,0
01:15,-36,1407,804,268,205,110,6,457,11457,137,-116,7139,0
01:20,-36,1399,803,269,205,110,5,457,11421,138,-121,7120,0
01:25,-36,1411,804,270,205,110,6,458,11412,136,-139,7041,0
01:30,-36,1405,803,270,205,109,7,458,11407,133,-153,6989,0
01:35,-35,1401,804,271,205,108,6,459,11414,132,-144,6963,0
01:40,-35,1425,803,275,205,109,6,458,11311,134,-138,6987,0
01:45,-36,1450,803,273,204,108,6,459,11363,133,-140,6901,0
01:50,-36,1467,802,272,204,109,6,459,11204,134,-73,6889,0
01:55,-36,1438,802,273,205,109,6,459,11091,136,-55,6885,0
02:00,-35,1377,802,274,205,109,6,459,11156,139,-100,6858,0
02:05,-35,1325,802,273,205,109,6,460,11086,143,-140,6959,0
02:10,-35,1355,802,273,205,109,6,459,11076,131,-173,6993,0
02:15,-35,1445,802,272,205,109,5,459,11030,129,-173,6909,0
02:20,-35,1575,802,272,205,109,5,459,10954,123,-200,6875,0
02:25,-35,1699,802,271,205,109,5,459,10936,122,-255,6886,0
02:30,-35,1767,803,269,205,110,4,459,10911,114,-259,6545,0
02:35,-35,1815,802,271,205,110,4,459,10841,117,-291,6937,0
02:40,-35,1866,801,270,205,108,4,460,10689,117,-250,6948,0
02:45,-35,1929,802,270,205,108,5,460,10703,123,-254,6865,0
02:50,-35,1940,803,270,205,107,5,460,10732,122,-248,6802,0
02:55,-36,1918,802,274,205,108,5,460,10604,123,-198,6808,0
03:00,-36,1893,803,276,205,108,5,460,10591,130,-193,6805,0
03:05,-36,1884,802,276,205,107,5,460,10615,129,-160,6741,0
03:10,-36,1840,803,275,205,107,5,461,10618,129,-149,6766,0
03:15,-36,1775,803,275,205,108,5,460,10657,127,-148,6785,0
03:20,-36,1706,803,275,206,108,5,460,10746,126,-131,6787,0
03:25,-36,1689,802,274,206,116,5,460,10786,124,-113,6751,0
03:30,-36,1716,802,272,205,117,5,458,10896,121,-172,6712,0
03:35,-36,1707,803,274,205,116,4,458,10943,119,-175,6732,0
03:40,-36,1673,802,278,205,116,4,457,10908,120,-148,6755,0
03:45,-36,1682,802,277,205,115,4,456,10863,121,-120,6729,0
03:50,-36,1672,802,278,205,113,5,456,10916,130,-117,6708,0
03:55,-36,1678,802,277,205,114,5,456,10946,132,-129,6709,0
04:00,-36,1654,802,276,205,114,5,456,10910,133,-126,6711,0
04:05,-36,1634,802,279,205,115,5,457,10892,140,-63,6491,0
04:10,-36,1604,801,280,205,116,5,457,10964,141,43,6553,0
04:15,-36,1551,801,278,205,116,5,456,10910,143,49,6619,0
04:20,-37,1519,801,278,205,115,5,457,10967,162,60,6614,0
04:25,-37,1527,800,277,205,113,5,457,10929,240,50,6617,0
04:30,-37,1546,802,275,205,113,5,457,10905,242,54,6636,0
